village,state,date,water_source_id,water_source_type,latitude,longitude,pH,turbidity_ntu,bacteria_ecoli_cfu_100ml,bacteria_coliform_cfu_100ml,dissolved_oxygen_mg_l,nitrates_mg_l,phosphates_mg_l,heavy_metals_mg_l,chlorine_residual_mg_l,fluoride_mg_l,arsenic_mg_l,test_method,testing_agency,is_potable,contamination_level,depth_meters
Belonia Rural,Tripura,2023-09-12,WS_99688,Pond,25.292923,94.29249,5.0,51.2,1997.0,1993.0,1.3,161.4,16.77,0.94,0.07,0.67,0.025,Lab Analysis,Agency_3,0,High,
Teliamura Rural,Tripura,2023-09-12,WS_22682,Well,24.316954,95.347755,8.09,1.6,10.0,18.0,7.4,1.3,1.76,0.041,1.91,0.28,0.046,Water Testing Kit,Agency_1,1,Safe,14.0
Lawngtlai Village,Mizoram,2023-09-12,WS_12582,Tube Well,24.756321,88.4181,5.47,77.6,236.0,546.0,3.2,188.0,16.84,0.17,0.75,0.21,0.04,Water Testing Kit,Agency_5,0,High,102.0
Tezpur Rural,Assam,2023-09-12,WS_72878,Well,27.959404,92.409887,7.4,2.3,16.0,77.0,7.6,9.7,2.84,0.015,1.95,1.2,0.022,Water Testing Kit,Agency_1,1,Safe,74.0
Guwahati Rural,Assam,2023-09-12,WS_76630,Piped Supply,25.478683,94.438683,7.82,3.2,18.0,36.0,7.0,32.7,0.49,0.001,0.58,0.68,0.009,IoT Sensor,Agency_2,1,Safe,
Barpeta Village,Assam,2023-09-13,WS_21472,Tube Well,24.393056,91.013454,6.88,5.5,11.0,23.0,8.9,4.5,1.14,0.028,0.42,1.48,0.046,IoT Sensor,Agency_9,1,Safe,91.0
Kolasib Rural,Mizoram,2023-09-13,WS_47814,Tube Well,28.277877,92.378816,8.2,7.5,47.0,57.0,8.9,18.3,0.58,0.012,0.45,1.47,0.038,Water Testing Kit,Agency_8,1,Safe,103.0
Jorethang Rural,Sikkim,2023-09-13,WS_23768,Pond,27.127688,89.56697,6.81,0.9,43.0,55.0,7.7,37.2,1.02,0.038,1.74,1.29,0.011,Water Testing Kit,Agency_6,1,Safe,
Resubelpara Rural,Meghalaya,2023-09-13,WS_33312,Piped Supply,28.818691,88.258248,7.21,2.7,21.0,47.0,6.5,22.8,2.92,0.002,0.69,1.2,0.043,Lab Analysis,Agency_6,1,Safe,
Senapati Rural,Manipur,2023-09-13,WS_35333,River,25.418045,95.840919,4.51,25.1,1251.0,4956.0,3.1,73.6,22.25,1.35,1.91,0.19,0.007,IoT Sensor,Agency_6,0,High,
Singtam Village,Sikkim,2023-09-13,WS_69281,River,23.506021,94.377733,5.49,24.1,1255.0,4597.0,2.6,93.8,13.11,1.81,1.85,0.19,0.012,Lab Analysis,Agency_1,0,High,
Belonia Rural,Tripura,2023-09-13,WS_90634,Well,26.779657,94.963601,8.2,3.1,38.0,51.0,7.7,31.0,2.33,0.045,0.94,0.39,0.045,Water Testing Kit,Agency_8,1,Safe,99.0
Tura Village,Meghalaya,2023-09-14,WS_42760,Tube Well,23.334366,88.134933,7.13,7.4,6.0,66.0,6.2,32.5,2.5,0.02,1.75,1.23,0.029,IoT Sensor,Agency_4,1,Safe,144.0
Tezpur Rural,Assam,2023-09-14,WS_71102,Spring,26.972895,96.460384,4.91,77.0,602.0,1195.0,2.3,158.6,9.21,0.92,1.49,0.84,0.037,Water Testing Kit,Agency_3,0,High,
Khowai Village,Tripura,2023-09-14,WS_18466,Spring,28.122149,88.255418,6.74,7.6,29.0,45.0,8.2,10.3,2.87,0.008,1.91,1.3,0.044,IoT Sensor,Agency_2,1,Safe,
Khowai Village,Tripura,2023-09-14,WS_38135,Piped Supply,25.716573,88.013471,5.15,55.5,1846.0,3712.0,1.8,117.0,12.0,1.89,1.87,1.24,0.032,IoT Sensor,Agency_1,0,High,
Kolasib Rural,Mizoram,2023-09-14,WS_26731,River,25.266434,89.332528,5.62,95.5,1680.0,1952.0,3.1,119.2,23.57,1.27,0.55,0.5,0.008,Water Testing Kit,Agency_4,0,High,
Saitual Rural,Mizoram,2023-09-14,WS_16948,Well,26.649623,93.045647,6.76,0.5,50.0,100.0,5.8,6.0,0.59,0.026,0.12,0.33,0.05,IoT Sensor,Agency_8,1,Safe,87.0
Tura Village,Meghalaya,2023-09-14,WS_68315,Tube Well,26.133492,96.230146,6.23,34.3,690.0,1947.0,3.7,76.4,9.46,1.49,1.77,1.42,0.045,Lab Analysis,Agency_5,0,High,89.0
Thoubal Village,Manipur,2023-09-15,WS_58107,Well,28.580031,89.54747,7.92,3.1,36.0,31.0,7.3,10.5,1.69,0.046,0.39,0.18,0.013,Water Testing Kit,Agency_3,1,Safe,190.0
Silchar Village,Assam,2023-09-15,WS_15190,Pond,24.860692,96.486216,5.42,60.1,1909.0,1193.0,3.0,121.2,18.59,1.24,1.51,0.21,0.033,Water Testing Kit,Agency_2,0,High,
Hnahthial Village,Mizoram,2023-09-15,WS_24201,Well,24.438715,90.130053,6.88,4.7,16.0,58.0,8.6,40.1,2.36,0.041,1.62,1.03,0.046,Water Testing Kit,Agency_6,1,Safe,182.0
Tura Village,Meghalaya,2023-09-15,WS_69161,Well,23.635899,94.834171,5.18,75.9,1387.0,4947.0,3.2,83.4,11.91,0.42,1.8,0.48,0.02,Lab Analysis,Agency_3,0,High,195.0
Belonia Rural,Tripura,2023-09-15,WS_95695,River,28.717476,91.368367,5.75,38.1,1891.0,1681.0,1.6,195.8,9.58,1.12,1.29,1.29,0.028,IoT Sensor,Agency_6,0,High,
Mangan Village,Sikkim,2023-09-15,WS_45351,Piped Supply,26.390066,90.471255,7.77,7.4,47.0,59.0,8.5,17.4,2.66,0.017,1.4,0.17,0.017,Water Testing Kit,Agency_1,1,Safe,
Imphal Rural,Manipur,2023-09-15,WS_46189,Well,23.619775,93.50546,7.0,0.2,13.0,77.0,6.6,12.0,3.0,0.029,1.76,1.29,0.047,IoT Sensor,Agency_6,1,Safe,122.0
Churachandpur Village,Manipur,2023-09-16,WS_11884,Tube Well,27.397162,88.522161,7.61,7.8,34.0,79.0,6.0,18.8,1.79,0.007,0.21,0.94,0.023,Lab Analysis,Agency_8,1,Safe,37.0
Bomdila Rural,Arunachal Pradesh,2023-09-16,WS_56327,Pond,24.432261,92.117311,5.43,23.8,195.0,3457.0,2.5,53.7,18.34,1.44,0.18,0.74,0.016,Lab Analysis,Agency_6,0,High,
Khowai Village,Tripura,2023-09-16,WS_20509,Piped Supply,28.252776,96.888082,7.46,5.8,9.0,97.0,5.4,42.9,0.05,0.024,0.07,0.12,0.037,IoT Sensor,Agency_6,1,Safe,
Namchi Village,Sikkim,2023-09-16,WS_63703,Pond,25.613787,91.032111,4.94,60.7,1408.0,3517.0,1.1,54.0,6.74,0.13,0.12,0.13,0.039,Water Testing Kit,Agency_2,0,High,
Naharlagun Village,Arunachal Pradesh,2023-09-16,WS_51938,Pond,24.519828,96.211555,5.18,56.1,1083.0,318.0,2.8,144.5,17.86,1.29,0.18,0.96,0.028,Lab Analysis,Agency_1,0,High,
Rangpo Rural,Sikkim,2023-09-16,WS_78849,Pond,23.023743,93.913283,7.18,0.5,47.0,83.0,8.9,8.1,0.06,0.048,1.42,0.52,0.024,Water Testing Kit,Agency_8,1,Safe,
Tezpur Rural,Assam,2023-09-16,WS_66728,Well,28.178975,96.537651,6.26,89.6,1824.0,2016.0,1.7,78.7,22.64,0.54,1.25,0.14,0.018,Water Testing Kit,Agency_4,0,High,111.0
Mokokchung Rural,Nagaland,2023-09-17,WS_34931,Well,24.993142,95.946566,6.87,5.9,39.0,49.0,5.0,32.7,2.86,0.038,0.94,0.68,0.002,Water Testing Kit,Agency_1,1,Safe,94.0
Kohima Rural,Nagaland,2023-09-17,WS_51859,Piped Supply,24.318954,94.550591,6.97,2.5,40.0,73.0,5.5,41.0,0.7,0.038,0.05,1.13,0.014,Water Testing Kit,Agency_4,1,Safe,
Silchar Village,Assam,2023-09-17,WS_68926,Well,28.75009,90.883129,6.74,2.2,41.0,23.0,7.6,10.4,1.85,0.037,0.48,0.23,0.034,IoT Sensor,Agency_6,1,Safe,128.0
Roing Village,Arunachal Pradesh,2023-09-17,WS_45887,River,23.336462,88.412521,5.35,58.9,1132.0,2328.0,1.0,120.8,11.95,1.16,1.44,0.77,0.007,IoT Sensor,Agency_7,0,High,
Jowai Rural,Meghalaya,2023-09-17,WS_95198,Well,23.868538,88.481224,8.5,7.9,31.0,15.0,9.0,32.7,2.48,0.049,1.42,1.25,0.008,IoT Sensor,Agency_5,1,Safe,63.0
Rangpo Rural,Sikkim,2023-09-17,WS_31791,River,28.897314,92.297851,5.29,97.2,1466.0,1001.0,1.3,116.8,24.76,1.61,1.68,0.9,0.014,IoT Sensor,Agency_5,0,High,
Tawang Rural,Arunachal Pradesh,2023-09-17,WS_71086,Well,23.85085,91.602838,8.01,1.3,45.0,8.0,7.7,7.7,2.42,0.029,0.58,1.49,0.019,Water Testing Kit,Agency_3,1,Safe,32.0
Tuensang Village,Nagaland,2023-09-18,WS_23986,River,28.190591,88.122823,4.75,16.5,361.0,3688.0,2.9,92.6,9.3,0.16,0.53,1.43,0.043,IoT Sensor,Agency_3,0,High,
Imphal Rural,Manipur,2023-09-18,WS_33516,Piped Supply,23.798723,89.231815,7.26,4.6,41.0,19.0,5.1,24.3,1.99,0.029,0.38,1.21,0.029,Water Testing Kit,Agency_7,1,Safe,
Churachandpur Village,Manipur,2023-09-18,WS_67231,Pond,28.488802,88.306642,6.11,61.1,191.0,2201.0,2.2,185.0,11.11,0.22,1.64,0.04,0.033,IoT Sensor,Agency_4,0,High,
Karimganj Village,Assam,2023-09-18,WS_77169,Piped Supply,25.756448,90.252901,6.64,4.5,43.0,56.0,8.2,40.2,0.23,0.029,0.33,0.77,0.042,Lab Analysis,Agency_3,1,Safe,
Wokha Rural,Nagaland,2023-09-18,WS_46619,Piped Supply,27.577885,94.426401,7.01,5.5,23.0,72.0,6.6,39.2,1.28,0.025,0.03,0.74,0.002,IoT Sensor,Agency_7,1,Safe,
Kolasib Rural,Mizoram,2023-09-18,WS_57643,Well,24.990757,95.098016,6.0,61.4,905.0,4090.0,1.8,83.7,17.24,0.62,0.66,0.25,0.04,Water Testing Kit,Agency_3,0,High,11.0
Dimapur Village,Nagaland,2023-09-18,WS_14040,River,26.122561,89.921537,5.67,64.8,1147.0,1835.0,2.2,164.1,23.53,1.2,1.16,0.39,0.008,Lab Analysis,Agency_1,0,High,
Churachandpur Village,Manipur,2023-09-19,WS_81741,Pond,25.365601,90.918258,6.3,18.4,1816.0,1111.0,1.4,60.4,13.51,1.22,1.86,1.42,0.025,Lab Analysis,Agency_5,0,High,
Silchar Village,Assam,2023-09-19,WS_48803,Well,26.870506,91.127725,5.75,72.2,1827.0,3821.0,3.5,173.5,10.43,1.65,1.31,0.22,0.024,IoT Sensor,Agency_6,0,High,13.0
Kohima Rural,Nagaland,2023-09-19,WS_87109,Piped Supply,26.727965,96.661792,7.0,5.4,4.0,79.0,8.0,12.9,0.18,0.004,0.85,1.0,0.026,Water Testing Kit,Agency_6,1,Safe,
Senapati Rural,Manipur,2023-09-19,WS_58279,Well,26.099451,89.064533,5.46,37.4,939.0,3887.0,2.2,95.1,22.91,1.46,0.42,1.2,0.047,Water Testing Kit,Agency_7,0,High,123.0
Senapati Rural,Manipur,2023-09-19,WS_75217,Tube Well,25.212903,91.773887,8.14,5.9,12.0,44.0,6.6,32.9,1.43,0.018,1.79,1.1,0.034,Lab Analysis,Agency_4,1,Safe,158.0
Silchar Village,Assam,2023-09-19,WS_95034,River,23.392103,93.906204,4.66,77.1,678.0,1688.0,2.9,149.9,14.48,1.16,1.21,0.28,0.026,Lab Analysis,Agency_1,0,High,
Lunglei Village,Mizoram,2023-09-19,WS_40113,River,23.837485,88.004884,4.73,15.5,514.0,827.0,1.9,80.6,10.27,0.34,0.35,0.4,0.013,IoT Sensor,Agency_6,0,High,
Barpeta Village,Assam,2023-09-20,WS_48611,Piped Supply,26.89863,94.623844,7.33,3.1,43.0,38.0,7.4,21.0,1.78,0.01,0.57,1.06,0.033,IoT Sensor,Agency_1,1,Safe,
Khowai Village,Tripura,2023-09-20,WS_49288,Pond,25.606092,89.10928,8.47,5.6,19.0,75.0,7.7,24.5,0.4,0.047,1.01,0.09,0.007,IoT Sensor,Agency_6,1,Safe,
Baghmara Rural,Meghalaya,2023-09-20,WS_13533,River,26.180211,90.025286,6.17,38.8,1209.0,882.0,3.2,131.0,23.68,1.41,0.68,0.56,0.046,Lab Analysis,Agency_4,0,High,
Tamenglong Rural,Manipur,2023-09-20,WS_58640,Spring,25.33854,94.767695,6.51,7.2,1.0,90.0,6.6,33.4,0.26,0.008,1.31,0.53,0.0,Water Testing Kit,Agency_9,1,Safe,
Zunheboto Village,Nagaland,2023-09-20,WS_19403,Pond,26.528167,90.722326,4.64,66.1,1282.0,2268.0,3.3,181.5,20.01,1.13,1.71,0.08,0.022,Lab Analysis,Agency_4,0,High,
Guwahati Rural,Assam,2023-09-20,WS_42445,River,23.392554,90.63469,6.18,88.3,1435.0,1869.0,2.1,55.4,6.55,1.08,0.63,1.49,0.028,IoT Sensor,Agency_4,0,High,
Kailashahar Village,Tripura,2023-09-20,WS_32597,Spring,23.095915,94.703671,6.37,29.7,730.0,4218.0,3.1,58.7,20.49,1.36,0.05,1.06,0.01,Lab Analysis,Agency_9,0,High,
Mokokchung Rural,Nagaland,2023-09-21,WS_11308,Pond,28.386036,90.590517,7.98,1.8,44.0,2.0,7.5,37.9,0.39,0.002,1.04,0.71,0.035,Lab Analysis,Agency_6,1,Safe,
Kohima Rural,Nagaland,2023-09-21,WS_47702,Tube Well,24.116795,88.58124,6.98,6.7,35.0,75.0,8.0,20.2,2.7,0.006,1.0,0.77,0.033,Lab Analysis,Agency_5,1,Safe,70.0
Resubelpara Rural,Meghalaya,2023-09-21,WS_19162,Tube Well,24.888133,95.116752,7.05,6.6,25.0,80.0,7.4,38.1,1.19,0.049,1.41,0.03,0.024,IoT Sensor,Agency_3,1,Safe,157.0
Tuensang Village,Nagaland,2023-09-21,WS_64389,River,28.168673,95.991612,5.43,64.8,662.0,1176.0,2.2,84.8,23.21,0.38,1.89,0.53,0.033,IoT Sensor,Agency_3,0,High,
Mangan Village,Sikkim,2023-09-21,WS_85240,Pond,26.094524,96.121694,5.53,62.4,333.0,3970.0,2.1,68.9,6.99,1.17,0.32,0.62,0.002,IoT Sensor,Agency_1,0,High,
Belonia Rural,Tripura,2023-09-21,WS_15826,River,26.677282,96.624807,5.97,43.0,222.0,1097.0,1.6,119.8,15.07,0.49,1.86,1.09,0.009,IoT Sensor,Agency_6,0,High,
Saitual Rural,Mizoram,2023-09-21,WS_65922,Pond,23.133006,90.512053,5.29,38.2,177.0,3845.0,3.2,134.9,24.48,1.75,0.08,1.15,0.048,Water Testing Kit,Agency_1,0,High,
Jiribam Village,Manipur,2023-09-22,WS_63035,River,24.341874,88.781638,6.54,1.4,33.0,74.0,7.5,42.3,1.18,0.028,0.95,0.95,0.041,Lab Analysis,Agency_9,1,Safe,
Saitual Rural,Mizoram,2023-09-22,WS_43583,Tube Well,25.951071,93.088786,8.07,1.9,38.0,21.0,5.3,35.4,2.34,0.006,0.17,0.74,0.043,Water Testing Kit,Agency_7,1,Safe,127.0
Dharmanagar Rural,Tripura,2023-09-22,WS_54487,Pond,26.868612,90.077273,6.65,1.6,34.0,4.0,5.0,27.7,2.02,0.035,0.94,1.07,0.034,Lab Analysis,Agency_7,1,Safe,
Namchi Village,Sikkim,2023-09-22,WS_14443,Piped Supply,23.520364,93.957128,7.84,0.6,46.0,15.0,5.8,32.8,1.48,0.039,1.83,1.29,0.046,IoT Sensor,Agency_2,1,Safe,
Gyalshing Rural,Sikkim,2023-09-22,WS_33542,Tube Well,25.310546,93.337609,5.04,32.6,706.0,263.0,3.3,70.8,9.05,1.35,0.48,0.55,0.002,Water Testing Kit,Agency_7,0,High,179.0
Gyalshing Rural,Sikkim,2023-09-22,WS_34845,River,27.822282,91.234782,5.44,44.0,493.0,2381.0,3.6,197.5,11.25,1.95,0.42,0.41,0.042,Water Testing Kit,Agency_6,0,High,
Churachandpur Village,Manipur,2023-09-22,WS_51809,Well,26.715716,94.544887,6.57,7.0,43.0,77.0,8.3,27.2,0.44,0.046,0.58,1.3,0.018,IoT Sensor,Agency_4,1,Safe,71.0
Gyalshing Rural,Sikkim,2023-09-23,WS_38487,Pond,26.287119,93.866235,5.13,87.5,1049.0,514.0,1.2,104.7,13.15,0.17,0.44,0.78,0.011,Lab Analysis,Agency_3,0,High,
Kohima Rural,Nagaland,2023-09-23,WS_99983,River,28.422157,90.787894,6.17,30.7,1830.0,4316.0,3.7,146.2,22.28,1.98,0.89,0.86,0.017,Water Testing Kit,Agency_2,0,High,
Mokokchung Rural,Nagaland,2023-09-23,WS_63592,Well,24.516159,89.579617,7.75,7.3,32.0,86.0,7.1,31.0,2.77,0.034,0.02,0.12,0.019,Water Testing Kit,Agency_2,1,Safe,109.0
Tamenglong Rural,Manipur,2023-09-23,WS_42317,Well,26.197527,90.167981,5.88,77.5,384.0,4695.0,1.5,63.4,8.26,0.37,0.85,0.83,0.028,Water Testing Kit,Agency_5,0,High,9.0
Lunglei Village,Mizoram,2023-09-23,WS_26226,Spring,25.68938,96.328485,8.16,7.0,41.0,63.0,8.2,28.3,2.53,0.047,0.45,0.05,0.006,Water Testing Kit,Agency_4,1,Safe,
Thoubal Village,Manipur,2023-09-23,WS_67889,Tube Well,23.587174,89.264081,6.97,6.5,10.0,8.0,6.9,3.1,0.84,0.035,0.25,0.06,0.012,IoT Sensor,Agency_9,1,Safe,95.0
Tezpur Village,Arunachal Pradesh,2023-09-23,WS_80042,Piped Supply,23.49194,91.136605,6.84,6.9,14.0,54.0,8.2,16.6,0.75,0.043,0.35,1.49,0.027,IoT Sensor,Agency_7,1,Safe,
Rangpo Rural,Sikkim,2023-09-24,WS_31981,Piped Supply,28.05829,91.602998,7.72,3.9,48.0,47.0,6.3,23.2,2.4,0.008,1.1,0.18,0.005,IoT Sensor,Agency_2,1,Safe,
Jowai Rural,Meghalaya,2023-09-24,WS_81968,Pond,27.156156,91.369013,4.61,34.9,364.0,3292.0,1.8,164.0,20.22,1.59,1.47,0.61,0.004,IoT Sensor,Agency_5,0,High,
Jorhat Village,Assam,2023-09-24,WS_44342,Piped Supply,27.147172,93.311862,7.49,0.8,49.0,47.0,5.2,15.4,0.1,0.025,0.79,0.28,0.0,Water Testing Kit,Agency_7,1,Safe,
Tawang Rural,Arunachal Pradesh,2023-09-24,WS_33697,Piped Supply,24.017795,94.060425,6.95,1.0,9.0,94.0,5.5,14.4,0.59,0.006,0.68,1.29,0.029,Water Testing Kit,Agency_9,1,Safe,
Jorhat Village,Assam,2023-09-24,WS_10210,Well,25.736818,92.780233,6.7,0.9,23.0,52.0,8.0,20.5,1.86,0.046,0.89,1.45,0.015,Lab Analysis,Agency_9,1,Safe,152.0
Guwahati Rural,Assam,2023-09-24,WS_71159,Pond,27.389287,88.50274,5.09,29.6,888.0,764.0,2.2,179.3,12.46,1.08,1.4,0.39,0.036,Water Testing Kit,Agency_9,0,High,
Churachandpur Village,Manipur,2023-09-24,WS_26603,River,24.463265,92.494205,5.82,71.4,1321.0,2618.0,1.8,115.3,15.24,0.51,1.86,0.86,0.003,IoT Sensor,Agency_7,0,High,
Baghmara Rural,Meghalaya,2023-09-25,WS_70345,River,23.177263,96.097968,6.69,2.8,14.0,33.0,8.7,3.1,0.85,0.037,1.08,0.7,0.048,IoT Sensor,Agency_6,1,Safe,
Imphal Rural,Manipur,2023-09-25,WS_91665,River,23.668165,94.616917,6.16,20.8,130.0,929.0,2.9,67.6,23.41,1.39,0.94,0.43,0.009,Water Testing Kit,Agency_4,0,High,
Jorhat Village,Assam,2023-09-25,WS_96276,Well,25.098416,92.723551,6.25,98.2,1035.0,4513.0,2.4,73.9,6.71,1.68,2.0,0.4,0.023,Lab Analysis,Agency_4,0,High,174.0
Udaipur Village,Tripura,2023-09-25,WS_96019,Well,26.348674,88.692809,7.6,1.9,17.0,30.0,6.7,35.9,1.0,0.014,0.18,0.1,0.01,Lab Analysis,Agency_5,1,Safe,90.0
Champhai Rural,Mizoram,2023-09-25,WS_95205,Pond,26.56858,90.183082,5.56,27.4,1002.0,872.0,1.9,65.1,9.33,0.81,0.13,1.38,0.003,Water Testing Kit,Agency_4,0,High,
Pakyong Village,Sikkim,2023-09-25,WS_97087,River,28.260797,88.240572,4.91,81.5,1817.0,4273.0,2.5,138.4,21.73,1.86,0.82,0.86,0.02,Lab Analysis,Agency_4,0,High,
Senapati Rural,Manipur,2023-09-25,WS_55280,Well,24.009219,90.364426,5.46,71.5,348.0,1641.0,1.8,122.6,24.29,0.84,1.25,0.15,0.045,Lab Analysis,Agency_5,0,High,168.0
Amarpur Village,Tripura,2023-09-26,WS_22846,Well,25.30681,92.495522,7.15,0.7,30.0,98.0,8.5,31.6,0.04,0.043,1.81,0.95,0.021,Lab Analysis,Agency_8,1,Safe,165.0
Churachandpur Village,Manipur,2023-09-26,WS_49675,Piped Supply,25.636538,92.642749,7.85,2.6,13.0,63.0,6.7,15.8,0.64,0.02,0.8,1.34,0.036,Lab Analysis,Agency_8,1,Safe,
Dibrugarh Rural,Assam,2023-09-26,WS_10823,River,24.467633,94.354881,5.97,43.1,705.0,213.0,1.7,152.2,13.86,1.3,0.31,0.43,0.01,IoT Sensor,Agency_7,0,High,
Shillong Rural,Meghalaya,2023-09-26,WS_14296,Well,28.388378,89.234981,7.93,0.6,38.0,57.0,8.1,26.7,1.13,0.025,1.68,0.22,0.022,IoT Sensor,Agency_2,1,Safe,132.0
Jorhat Village,Assam,2023-09-26,WS_63059,Piped Supply,27.748336,88.399922,7.4,1.4,24.0,74.0,8.7,12.8,1.3,0.039,0.81,0.72,0.05,Water Testing Kit,Agency_5,1,Safe,
Dimapur Village,Nagaland,2023-09-26,WS_50920,Tube Well,26.352943,90.468691,6.33,41.1,377.0,2032.0,1.0,66.3,14.92,1.89,1.19,0.84,0.034,Water Testing Kit,Agency_6,0,High,162.0
Pasighat Rural,Arunachal Pradesh,2023-09-26,WS_23707,Tube Well,25.894025,91.904079,8.49,3.9,46.0,53.0,6.6,32.0,2.87,0.019,1.36,1.22,0.048,Lab Analysis,Agency_3,1,Safe,141.0
Silchar Village,Assam,2023-09-27,WS_36739,River,23.790074,90.0571,6.28,78.9,1070.0,4186.0,3.1,184.3,19.49,1.53,1.88,0.31,0.017,IoT Sensor,Agency_8,0,High,
Silchar Village,Assam,2023-09-27,WS_35058,Well,24.892901,89.837471,7.64,1.3,7.0,13.0,6.0,28.9,0.62,0.033,1.29,0.88,0.045,Lab Analysis,Agency_6,1,Safe,128.0
Tawang Rural,Arunachal Pradesh,2023-09-27,WS_40841,Well,26.765262,96.439226,6.74,1.7,25.0,11.0,5.9,20.1,0.75,0.047,0.63,0.88,0.011,IoT Sensor,Agency_4,1,Safe,113.0
Ukhrul Village,Manipur,2023-09-27,WS_68814,River,23.799682,93.982412,7.11,5.7,44.0,86.0,6.9,29.8,2.49,0.008,0.16,0.18,0.028,Lab Analysis,Agency_1,1,Safe,
Tuensang Village,Nagaland,2023-09-27,WS_31611,Pond,27.09123,96.088176,8.18,5.5,34.0,25.0,8.8,38.3,2.62,0.01,0.2,0.48,0.018,Lab Analysis,Agency_9,1,Safe,
Naharlagun Village,Arunachal Pradesh,2023-09-27,WS_58155,Well,24.535784,91.910799,6.0,93.6,282.0,4920.0,1.9,151.8,24.73,0.12,0.98,1.15,0.039,Water Testing Kit,Agency_7,0,High,146.0
Gyalshing Rural,Sikkim,2023-09-27,WS_27733,Tube Well,28.538024,90.854935,6.51,3.7,44.0,37.0,6.3,30.9,2.12,0.032,1.59,0.53,0.025,IoT Sensor,Agency_5,1,Safe,19.0
Nongpoh Village,Meghalaya,2023-09-28,WS_17930,Pond,28.515934,91.631187,6.72,4.5,48.0,2.0,5.3,40.9,2.21,0.027,1.28,1.24,0.023,Water Testing Kit,Agency_5,1,Safe,
Baghmara Rural,Meghalaya,2023-09-28,WS_40166,Pond,27.89364,95.515088,7.38,7.5,41.0,74.0,6.3,19.2,0.13,0.019,1.87,0.3,0.021,Lab Analysis,Agency_8,1,Safe,
Udaipur Village,Tripura,2023-09-28,WS_84737,Pond,25.309711,88.399131,4.93,60.8,1107.0,4122.0,2.2,87.5,21.61,1.33,0.13,1.39,0.038,IoT Sensor,Agency_5,0,High,
Udaipur Village,Tripura,2023-09-28,WS_50782,Spring,23.993471,90.754369,7.7,6.5,16.0,98.0,6.7,16.7,2.36,0.032,0.61,0.19,0.014,Water Testing Kit,Agency_4,1,Safe,
Udaipur Village,Tripura,2023-09-28,WS_28317,River,23.487618,94.094101,4.58,72.3,252.0,3310.0,4.0,59.1,10.44,0.35,0.21,0.71,0.04,IoT Sensor,Agency_7,0,High,
Tezpur Rural,Assam,2023-09-28,WS_93519,Well,24.948616,91.618015,7.92,0.4,16.0,37.0,8.5,3.9,2.31,0.049,1.57,1.39,0.022,IoT Sensor,Agency_3,1,Safe,64.0
Tamenglong Rural,Manipur,2023-09-28,WS_97876,Well,25.646256,90.469099,4.51,34.9,660.0,3923.0,2.6,99.7,16.94,1.6,1.18,0.84,0.039,Water Testing Kit,Agency_3,0,High,88.0
Dharmanagar Rural,Tripura,2023-09-29,WS_34085,River,26.686773,88.46671,7.9,7.1,49.0,47.0,7.5,41.1,1.73,0.003,1.94,1.17,0.03,Water Testing Kit,Agency_2,1,Safe,
Pasighat Rural,Arunachal Pradesh,2023-09-29,WS_23528,Tube Well,25.708825,89.373032,8.46,2.5,27.0,58.0,7.2,18.5,2.96,0.044,1.18,0.89,0.009,Water Testing Kit,Agency_8,1,Safe,112.0
Wokha Rural,Nagaland,2023-09-29,WS_86381,Well,27.758034,95.405225,7.76,2.2,24.0,93.0,6.0,14.3,2.72,0.005,0.16,1.0,0.036,Lab Analysis,Agency_1,1,Safe,22.0
Udaipur Village,Tripura,2023-09-29,WS_32612,Spring,26.780758,93.344998,8.33,5.6,7.0,26.0,6.7,19.3,1.94,0.029,1.34,0.79,0.022,IoT Sensor,Agency_4,1,Safe,
Kiphire Village,Nagaland,2023-09-29,WS_78463,River,26.826377,95.083513,5.63,17.8,158.0,488.0,1.7,197.2,6.96,1.78,1.76,0.37,0.041,IoT Sensor,Agency_2,0,High,
Belonia Rural,Tripura,2023-09-29,WS_96496,Pond,25.160322,89.459556,4.69,35.5,1150.0,3943.0,3.6,114.0,24.52,1.57,1.43,0.41,0.043,Water Testing Kit,Agency_7,0,High,
Shillong Rural,Meghalaya,2023-09-29,WS_37024,Spring,24.323058,91.010973,5.46,49.3,247.0,2144.0,2.3,76.0,22.67,0.66,0.3,1.01,0.019,Water Testing Kit,Agency_7,0,High,
Bishnupur Rural,Manipur,2023-09-30,WS_19263,Tube Well,26.807562,89.977666,7.03,2.4,20.0,92.0,6.9,4.3,0.7,0.002,1.98,1.4,0.048,IoT Sensor,Agency_6,1,Safe,103.0
Dharmanagar Rural,Tripura,2023-09-30,WS_66945,Piped Supply,23.388031,88.58033,8.23,6.3,36.0,3.0,9.0,32.3,2.91,0.004,1.52,1.2,0.046,Water Testing Kit,Agency_9,1,Safe,
Roing Village,Arunachal Pradesh,2023-09-30,WS_49084,Well,26.710521,90.011458,5.48,39.7,1374.0,1472.0,1.5,137.2,20.22,0.24,1.14,0.46,0.026,Water Testing Kit,Agency_2,0,High,45.0
Namchi Village,Sikkim,2023-09-30,WS_67959,River,24.188543,90.197397,6.92,0.1,8.0,84.0,6.7,33.3,0.09,0.007,0.39,1.48,0.032,Water Testing Kit,Agency_2,1,Safe,
