village,state,date,season,month,daily_rainfall_mm,weekly_rainfall_mm,monthly_rainfall_mm,temperature_celsius,max_temperature_celsius,min_temperature_celsius,humidity_percent,wind_speed_kmh,wind_direction,atmospheric_pressure_hpa,solar_radiation_mj_m2,evaporation_rate_mm,flood_risk_level,drought_indicator,weather_station_id,data_source
Tawang Rural,Arunachal Pradesh,2023-10-15,Post-Monsoon,10,17.9,100.7,122.2,26.7,33.7,23.2,83.1,15.6,N,1010.2,16.6,2.6,Low,No,WS_6328,IMD
Baghmara Rural,Meghalaya,2023-10-15,Post-Monsoon,10,4.2,24.9,91.5,23.9,30.0,21.7,82.1,22.7,NW,1014.2,29.0,10.3,Low,No,WS_7919,IMD
Hnahthial Village,Mizoram,2023-10-16,Post-Monsoon,10,4.8,28.2,145.9,29.8,34.6,27.7,82.5,18.3,E,1001.5,15.2,2.2,Low,Severe,WS_8870,Local Station
Barpeta Village,Assam,2023-10-16,Post-Monsoon,10,3.1,24.3,148.2,21.7,24.5,16.5,84.5,12.7,E,1018.5,24.6,4.0,Low,No,WS_6593,Local Station
Tamenglong Rural,Manipur,2023-10-16,Post-Monsoon,10,7.2,60.4,91.4,29.6,37.1,23.8,82.4,24.7,SW,1008.4,27.1,3.6,Low,No,WS_2817,Satellite
Lawngtlai Village,Mizoram,2023-10-16,Post-Monsoon,10,20.9,122.9,120.7,24.3,29.6,20.7,81.4,2.4,SW,1008.6,27.6,6.3,High,No,WS_9217,IMD
Shillong Rural,Meghalaya,2023-10-16,Post-Monsoon,10,8.3,67.0,57.1,25.4,32.2,20.7,72.0,16.1,SE,1012.8,20.0,6.6,Medium,No,WS_4892,IMD
Dibrugarh Rural,Assam,2023-10-16,Post-Monsoon,10,9.8,73.2,74.7,29.3,32.3,27.0,77.0,18.6,NW,1001.1,27.9,4.0,Medium,Mild,WS_8181,Local Station
Pasighat Rural,Arunachal Pradesh,2023-10-16,Post-Monsoon,10,25.7,160.0,131.4,26.4,29.5,22.8,67.3,18.2,E,1006.5,15.4,2.1,Low,No,WS_6514,IMD
Pakyong Village,Sikkim,2023-10-17,Post-Monsoon,10,5.7,38.5,129.8,26.2,30.4,21.2,81.5,3.6,S,1003.7,28.9,8.6,Low,Mild,WS_2773,IMD
Ziro Village,Arunachal Pradesh,2023-10-17,Post-Monsoon,10,8.8,61.2,61.2,25.1,32.2,20.9,66.6,21.0,SE,1001.1,29.1,7.0,Low,No,WS_3856,Local Station
Gyalshing Rural,Sikkim,2023-10-17,Post-Monsoon,10,9.7,54.4,75.5,21.4,23.6,17.5,71.3,20.5,NE,1012.5,20.3,5.0,Medium,No,WS_2785,Satellite
Teliamura Rural,Tripura,2023-10-17,Post-Monsoon,10,5.1,35.0,110.9,27.1,30.9,22.8,76.0,10.2,W,1005.8,16.4,2.8,Low,No,WS_6531,Local Station
Dharmanagar Rural,Tripura,2023-10-17,Post-Monsoon,10,5.5,36.3,86.1,20.6,24.5,18.2,76.0,17.6,SW,1006.4,27.7,5.6,High,Mild,WS_2271,Local Station
Tezpur Rural,Assam,2023-10-17,Post-Monsoon,10,9.0,71.9,145.1,27.6,31.7,22.0,68.6,17.1,E,1006.8,21.1,10.7,High,No,WS_4531,IMD
Phek Rural,Nagaland,2023-10-17,Post-Monsoon,10,15.7,130.2,108.7,29.8,37.6,26.3,69.2,14.7,N,1010.8,17.1,2.3,Low,No,WS_8773,IMD
Khliehriat Village,Meghalaya,2023-10-18,Post-Monsoon,10,6.2,41.8,69.8,26.3,32.4,23.1,75.3,14.8,NW,1007.0,28.7,10.0,Low,No,WS_9053,Local Station
Dharmanagar Rural,Tripura,2023-10-18,Post-Monsoon,10,4.2,33.6,62.8,26.1,31.7,20.2,74.7,19.1,N,1014.8,21.5,8.8,Medium,Mild,WS_9416,Local Station
Tezpur Rural,Assam,2023-10-18,Post-Monsoon,10,10.9,80.6,127.9,23.0,26.1,18.6,74.1,21.2,NE,1006.8,21.1,7.8,Low,Mild,WS_5808,IMD
Hnahthial Village,Mizoram,2023-10-18,Post-Monsoon,10,3.7,30.8,110.0,24.7,30.2,22.2,68.9,6.7,NE,1003.0,27.3,2.4,Medium,Mild,WS_3281,Satellite
Tuensang Village,Nagaland,2023-10-18,Post-Monsoon,10,7.2,49.0,101.0,21.8,24.5,19.6,80.3,8.0,E,1012.5,16.7,7.5,Medium,No,WS_1801,Local Station
Tamenglong Rural,Manipur,2023-10-18,Post-Monsoon,10,5.8,44.0,122.8,20.4,24.3,17.4,66.5,5.6,S,1010.8,27.9,6.6,Medium,No,WS_7280,Satellite
Guwahati Rural,Assam,2023-10-18,Post-Monsoon,10,23.3,186.0,75.9,23.7,29.1,19.1,74.7,15.8,W,1000.9,29.1,11.1,Medium,No,WS_2450,Local Station
Khowai Village,Tripura,2023-10-19,Post-Monsoon,10,23.2,135.7,104.9,22.3,24.5,16.9,69.8,18.5,SE,1008.5,16.7,3.5,Low,No,WS_5714,IMD
Khowai Village,Tripura,2023-10-19,Post-Monsoon,10,1.8,13.1,121.0,28.6,34.0,25.3,72.5,17.3,W,1014.6,22.7,6.0,Low,No,WS_1244,Satellite
Jorhat Village,Assam,2023-10-19,Post-Monsoon,10,4.3,32.9,117.2,28.2,35.5,23.0,84.3,20.5,E,1001.9,16.1,9.2,Medium,Mild,WS_3126,IMD
Mangan Village,Sikkim,2023-10-19,Post-Monsoon,10,4.4,32.2,131.7,25.8,33.6,20.9,74.3,19.1,SE,1006.3,25.9,10.6,Low,No,WS_9303,IMD
Champhai Rural,Mizoram,2023-10-19,Post-Monsoon,10,4.4,34.1,134.4,23.6,26.9,20.1,79.4,12.3,E,1002.8,22.0,2.0,High,No,WS_6389,Local Station
Belonia Rural,Tripura,2023-10-19,Post-Monsoon,10,3.1,19.4,106.9,21.4,27.0,18.9,67.5,16.1,S,1004.9,19.1,4.9,Medium,No,WS_6931,Local Station
Tezpur Village,Arunachal Pradesh,2023-10-19,Post-Monsoon,10,4.3,36.1,124.1,25.3,30.5,19.7,73.1,24.5,SE,1000.6,18.0,11.4,Low,No,WS_1188,Local Station
Itanagar Rural,Arunachal Pradesh,2023-10-20,Post-Monsoon,10,5.1,42.7,91.7,21.3,28.4,16.1,70.0,17.4,NW,1003.4,25.1,6.1,Medium,Mild,WS_6338,Local Station
Jorethang Rural,Sikkim,2023-10-20,Post-Monsoon,10,9.4,66.0,127.1,25.5,28.5,22.3,77.5,14.8,NW,1017.9,29.2,6.3,Low,Mild,WS_6821,IMD
Gangtok Rural,Sikkim,2023-10-20,Post-Monsoon,10,1.2,7.8,147.5,22.1,26.0,17.2,73.2,6.0,NE,1014.2,25.0,2.2,Low,No,WS_2001,IMD
Zunheboto Village,Nagaland,2023-10-20,Post-Monsoon,10,4.2,25.4,149.2,28.3,35.1,23.2,78.6,24.7,SW,1000.3,27.6,8.8,Low,No,WS_4559,IMD
Nagaon Rural,Assam,2023-10-20,Post-Monsoon,10,2.7,20.8,96.2,29.4,33.6,24.0,78.2,16.4,SW,1006.5,18.5,6.6,Low,No,WS_3993,IMD
Khliehriat Village,Meghalaya,2023-10-20,Post-Monsoon,10,2.1,13.0,98.3,28.3,35.5,24.9,73.2,16.3,SW,1007.2,25.3,3.7,High,No,WS_2530,IMD
Roing Village,Arunachal Pradesh,2023-10-20,Post-Monsoon,10,10.2,62.3,87.2,24.8,27.0,21.0,73.4,11.8,SE,1012.5,27.7,5.8,Low,No,WS_7221,Local Station
Lawngtlai Village,Mizoram,2023-10-21,Post-Monsoon,10,15.5,90.9,107.7,27.3,31.5,22.1,79.4,18.7,NW,1013.0,29.9,11.6,Medium,No,WS_5955,IMD
Hnahthial Village,Mizoram,2023-10-21,Post-Monsoon,10,0.2,1.6,85.9,21.2,24.7,18.8,76.5,11.7,S,1002.1,29.9,11.8,High,Mild,WS_1721,IMD
Wokha Rural,Nagaland,2023-10-21,Post-Monsoon,10,2.4,17.1,50.8,28.5,35.3,26.4,72.6,24.7,N,1006.9,15.0,4.2,Medium,No,WS_6429,IMD
Silchar Village,Assam,2023-10-21,Post-Monsoon,10,5.6,44.1,122.4,25.5,27.7,22.4,68.7,8.4,W,1015.3,16.7,2.4,Medium,No,WS_1882,Satellite
Phek Rural,Nagaland,2023-10-21,Post-Monsoon,10,9.4,56.8,134.5,20.2,27.3,15.1,67.4,6.7,N,1005.4,24.2,11.7,Medium,No,WS_1067,IMD
Kohima Rural,Nagaland,2023-10-21,Post-Monsoon,10,9.7,73.7,136.7,26.0,29.0,21.4,78.7,16.2,N,1012.9,28.4,5.2,Low,No,WS_6567,IMD
Aizawl Rural,Mizoram,2023-10-21,Post-Monsoon,10,2.8,16.4,102.0,23.5,31.0,19.8,71.7,18.7,SW,1006.4,29.6,3.0,Low,No,WS_4068,Local Station
Hnahthial Village,Mizoram,2023-10-22,Post-Monsoon,10,8.9,69.1,108.0,23.7,28.6,20.3,72.6,22.0,N,1000.7,26.4,3.9,Medium,No,WS_3080,Local Station
Saitual Rural,Mizoram,2023-10-22,Post-Monsoon,10,4.0,28.2,64.9,21.1,23.2,17.0,70.2,10.5,W,1005.4,18.6,2.6,Medium,No,WS_8960,Local Station
Nagaon Rural,Assam,2023-10-22,Post-Monsoon,10,28.0,181.9,79.4,24.0,29.7,18.4,78.1,5.7,W,1014.0,27.2,8.0,Medium,No,WS_5757,IMD
Jorhat Village,Assam,2023-10-22,Post-Monsoon,10,4.4,27.9,76.3,22.5,28.6,19.0,68.6,11.2,E,1013.9,22.6,11.7,Low,No,WS_9156,Local Station
Phek Rural,Nagaland,2023-10-22,Post-Monsoon,10,7.1,50.2,97.5,26.7,28.8,23.1,68.9,5.6,W,1018.6,15.6,7.2,Medium,No,WS_3755,Local Station
Dibrugarh Rural,Assam,2023-10-22,Post-Monsoon,10,1.9,13.8,136.6,20.4,23.2,16.5,73.4,14.8,SE,1002.9,17.8,7.6,Low,No,WS_7993,IMD
Karimganj Village,Assam,2023-10-22,Post-Monsoon,10,1.0,8.3,54.7,25.8,33.2,20.0,75.4,24.2,S,1014.0,29.9,10.3,Low,No,WS_7009,Local Station
Kolasib Rural,Mizoram,2023-10-23,Post-Monsoon,10,11.8,72.1,104.8,22.1,26.6,19.8,69.2,15.1,E,1015.5,16.5,9.4,Low,No,WS_5103,Satellite
Nongpoh Village,Meghalaya,2023-10-23,Post-Monsoon,10,16.2,101.7,83.8,21.3,29.1,17.6,76.5,24.7,N,1010.7,23.1,5.7,Low,Moderate,WS_2617,Satellite
Ziro Village,Arunachal Pradesh,2023-10-23,Post-Monsoon,10,14.2,84.8,97.3,23.1,27.7,19.5,71.6,4.1,NE,1011.9,19.1,4.2,Low,No,WS_8768,IMD
Churachandpur Village,Manipur,2023-10-23,Post-Monsoon,10,2.5,19.4,81.1,21.1,28.4,16.0,83.6,19.9,W,1004.7,19.6,6.4,Low,Mild,WS_9040,Local Station
Nagaon Rural,Assam,2023-10-23,Post-Monsoon,10,17.9,121.3,73.0,29.8,36.6,25.1,78.3,6.1,W,1001.8,29.4,7.0,Low,No,WS_2821,Local Station
Williamnagar Village,Meghalaya,2023-10-23,Post-Monsoon,10,1.4,8.6,138.2,26.0,29.3,20.4,74.3,11.7,S,1012.8,20.0,9.3,Low,Mild,WS_5846,IMD
Hnahthial Village,Mizoram,2023-10-23,Post-Monsoon,10,6.1,37.7,57.1,27.1,34.8,22.6,71.6,20.1,W,1005.0,19.6,3.1,Medium,Moderate,WS_8586,IMD
Jorhat Village,Assam,2023-10-24,Post-Monsoon,10,9.5,65.0,95.1,26.0,31.4,22.1,77.6,3.7,SE,1017.4,22.2,8.9,Medium,No,WS_7914,Local Station
Senapati Rural,Manipur,2023-10-24,Post-Monsoon,10,30.7,209.1,107.5,20.8,23.3,17.3,70.3,7.6,SE,1018.1,18.3,4.5,Medium,No,WS_1539,IMD
Senapati Rural,Manipur,2023-10-24,Post-Monsoon,10,3.6,21.9,118.3,23.7,27.2,18.1,70.7,4.1,SW,1014.1,23.1,11.6,Medium,No,WS_7392,Satellite
Phek Rural,Nagaland,2023-10-24,Post-Monsoon,10,8.9,73.3,127.8,23.8,29.2,19.3,77.7,23.6,NE,1007.9,19.0,9.6,Low,Moderate,WS_8280,IMD
Tamenglong Rural,Manipur,2023-10-24,Post-Monsoon,10,17.2,107.1,118.0,22.8,27.5,19.7,81.7,2.3,NE,1007.0,28.2,8.8,Low,No,WS_5499,Satellite
Champhai Rural,Mizoram,2023-10-24,Post-Monsoon,10,4.3,28.1,101.2,29.4,35.0,24.0,76.8,18.6,W,1012.3,26.1,4.7,Low,No,WS_1367,Local Station
Udaipur Village,Tripura,2023-10-24,Post-Monsoon,10,3.1,18.4,106.3,20.8,23.5,16.5,73.5,6.5,SW,1013.8,21.3,8.6,Low,Mild,WS_9398,IMD
Wokha Rural,Nagaland,2023-10-25,Post-Monsoon,10,16.0,93.2,55.7,21.6,25.5,16.0,67.1,5.9,SE,1003.1,22.1,5.3,Low,No,WS_8325,IMD
Tura Village,Meghalaya,2023-10-25,Post-Monsoon,10,7.2,55.5,125.9,25.0,31.6,21.6,68.4,4.3,W,1001.6,15.3,2.7,Medium,No,WS_9626,Satellite
Thoubal Village,Manipur,2023-10-25,Post-Monsoon,10,24.7,190.5,112.6,20.7,27.6,15.3,68.6,3.6,W,1017.5,27.0,4.7,Low,No,WS_8856,Local Station
Silchar Village,Assam,2023-10-25,Post-Monsoon,10,1.3,8.1,123.7,26.3,29.4,22.9,83.9,12.4,NE,1011.8,23.5,2.2,Low,Moderate,WS_1175,IMD
Baghmara Rural,Meghalaya,2023-10-25,Post-Monsoon,10,54.5,439.1,110.6,29.8,32.6,27.1,72.8,5.7,W,1019.9,22.9,4.4,Low,Severe,WS_4207,Local Station
Thoubal Village,Manipur,2023-10-25,Post-Monsoon,10,33.9,249.0,149.3,25.5,27.7,23.3,78.5,13.1,NW,1017.0,18.8,3.1,Low,No,WS_6279,Satellite
Singtam Village,Sikkim,2023-10-25,Post-Monsoon,10,9.6,67.8,135.4,27.8,30.9,25.5,81.3,10.3,NE,1004.3,18.2,11.1,High,Mild,WS_9977,IMD
Khliehriat Village,Meghalaya,2023-10-26,Post-Monsoon,10,3.2,20.4,56.5,20.6,26.6,15.1,81.3,3.9,SE,1019.4,23.7,4.9,Low,No,WS_6739,Local Station
Khliehriat Village,Meghalaya,2023-10-26,Post-Monsoon,10,2.5,15.4,135.2,20.2,22.7,15.6,77.9,3.6,NW,1018.9,21.2,3.9,Medium,No,WS_6059,Local Station
Dimapur Village,Nagaland,2023-10-26,Post-Monsoon,10,5.8,35.6,149.8,28.5,32.2,23.7,67.8,21.4,S,1001.1,17.2,5.8,Low,No,WS_5277,IMD
Udaipur Village,Tripura,2023-10-26,Post-Monsoon,10,9.0,56.1,67.5,24.7,27.1,21.3,66.0,7.9,NW,1004.1,20.6,6.7,High,No,WS_1601,IMD
Dharmanagar Rural,Tripura,2023-10-26,Post-Monsoon,10,18.3,134.9,132.6,23.5,28.3,20.7,73.6,5.3,E,1008.4,27.4,10.8,Low,No,WS_5850,Local Station
Tezpur Village,Arunachal Pradesh,2023-10-26,Post-Monsoon,10,11.9,69.6,52.2,23.2,28.4,17.9,69.4,9.9,NE,1005.6,16.7,4.1,Low,No,WS_2615,IMD
Kohima Rural,Nagaland,2023-10-26,Post-Monsoon,10,1.4,8.7,111.7,22.0,24.3,18.0,69.2,3.4,N,1017.7,26.3,11.3,Low,No,WS_1826,IMD
Tura Village,Meghalaya,2023-10-27,Post-Monsoon,10,3.0,20.5,102.7,22.9,28.8,20.1,83.8,21.0,N,1016.4,24.6,3.0,Medium,No,WS_8541,IMD
Bishnupur Rural,Manipur,2023-10-27,Post-Monsoon,10,24.7,142.8,122.6,23.4,30.0,19.9,67.0,20.1,W,1007.4,29.8,7.1,Medium,Moderate,WS_2460,IMD
Dharmanagar Rural,Tripura,2023-10-27,Post-Monsoon,10,11.1,73.8,143.1,28.4,32.4,26.1,81.5,4.5,E,1000.5,27.8,9.1,High,No,WS_7727,Satellite
Hnahthial Village,Mizoram,2023-10-27,Post-Monsoon,10,5.6,42.6,63.2,29.6,36.2,25.5,71.1,12.2,SW,1011.1,20.0,2.6,High,Mild,WS_1420,Satellite
Agartala Rural,Tripura,2023-10-27,Post-Monsoon,10,19.2,146.9,87.3,29.6,36.8,24.5,76.1,14.4,N,1004.8,22.4,3.7,Low,No,WS_1710,IMD
Teliamura Rural,Tripura,2023-10-27,Post-Monsoon,10,8.8,56.3,98.0,28.5,36.5,23.2,73.1,14.5,NE,1006.4,21.0,8.9,High,No,WS_8010,IMD
Naharlagun Village,Arunachal Pradesh,2023-10-27,Post-Monsoon,10,3.6,26.3,90.8,29.4,35.8,26.6,70.3,7.7,SW,1011.3,22.4,3.0,Medium,No,WS_4045,Local Station
Tezpur Village,Arunachal Pradesh,2023-10-28,Post-Monsoon,10,4.1,26.2,68.6,21.1,23.7,15.1,74.9,24.0,S,1006.3,17.3,10.3,Low,Mild,WS_2013,IMD
Churachandpur Village,Manipur,2023-10-28,Post-Monsoon,10,12.7,100.8,99.9,20.5,23.8,16.6,76.3,25.0,E,1013.0,29.4,11.3,Low,No,WS_3605,IMD
Namchi Village,Sikkim,2023-10-28,Post-Monsoon,10,6.2,50.1,71.7,23.5,29.9,21.1,77.6,18.5,NE,1009.5,17.9,8.4,High,No,WS_6167,IMD
Hnahthial Village,Mizoram,2023-10-28,Post-Monsoon,10,4.4,30.5,100.7,20.7,25.0,15.1,80.8,19.1,NE,1003.8,25.8,6.0,Low,No,WS_7814,IMD
Rangpo Rural,Sikkim,2023-10-28,Post-Monsoon,10,1.6,12.7,83.9,20.3,22.3,17.2,67.4,3.1,N,1007.8,29.7,10.7,Low,Mild,WS_2444,Local Station
Khowai Village,Tripura,2023-10-28,Post-Monsoon,10,1.7,11.5,78.4,21.5,27.0,18.5,72.1,23.2,N,1012.4,23.4,9.3,Low,No,WS_3804,Satellite
Aizawl Rural,Mizoram,2023-10-28,Post-Monsoon,10,9.7,62.1,134.4,21.1,27.0,18.9,83.4,4.9,NE,1013.1,24.4,9.3,Low,Mild,WS_7888,Satellite
Karimganj Village,Assam,2023-10-29,Post-Monsoon,10,30.4,224.4,137.6,25.8,31.3,20.5,80.1,21.5,SE,1003.0,18.8,2.2,Low,No,WS_4334,IMD
Aizawl Rural,Mizoram,2023-10-29,Post-Monsoon,10,5.9,45.1,80.4,22.3,30.0,18.4,68.5,2.7,E,1019.7,25.1,8.7,Low,No,WS_7165,IMD
Agartala Rural,Tripura,2023-10-29,Post-Monsoon,10,29.8,214.9,103.8,21.9,29.2,17.6,80.0,22.5,SE,1019.9,15.5,7.5,Low,No,WS_9687,Satellite
Khowai Village,Tripura,2023-10-29,Post-Monsoon,10,13.1,75.3,126.8,28.0,34.7,24.9,75.8,14.9,SE,1004.0,24.3,2.1,Medium,Mild,WS_7215,Local Station
Itanagar Rural,Arunachal Pradesh,2023-10-29,Post-Monsoon,10,18.0,120.7,127.2,21.0,25.0,18.3,84.9,20.9,SW,1004.9,19.4,5.3,Medium,No,WS_9187,Local Station
Amarpur Village,Tripura,2023-10-29,Post-Monsoon,10,5.5,38.7,73.7,22.8,25.9,18.5,78.2,13.3,SW,1001.3,29.5,3.1,Low,No,WS_9953,Local Station
Jowai Rural,Meghalaya,2023-10-29,Post-Monsoon,10,18.4,104.3,138.4,24.0,26.7,18.4,74.9,14.0,SW,1013.4,20.4,8.5,Low,No,WS_7287,IMD
Tura Village,Meghalaya,2023-10-30,Post-Monsoon,10,5.5,39.2,99.3,28.8,36.4,26.7,79.1,6.6,S,1003.7,26.1,6.2,Low,No,WS_5554,IMD
Jiribam Village,Manipur,2023-10-30,Post-Monsoon,10,4.5,32.3,148.6,24.7,27.9,20.0,78.2,10.2,S,1005.2,16.4,9.8,Low,No,WS_9945,IMD
Singtam Village,Sikkim,2023-10-30,Post-Monsoon,10,1.4,8.0,126.9,24.8,29.7,21.1,69.8,18.8,S,1017.0,24.5,10.0,Low,No,WS_7637,IMD
Shillong Rural,Meghalaya,2023-10-30,Post-Monsoon,10,14.9,117.4,64.2,29.7,34.6,25.0,66.6,20.7,S,1006.3,21.3,4.8,Low,Mild,WS_7279,IMD
Kailashahar Village,Tripura,2023-10-30,Post-Monsoon,10,17.9,129.5,140.5,26.4,30.3,23.5,71.3,6.2,E,1015.4,25.5,6.9,Low,No,WS_6245,IMD
Phek Rural,Nagaland,2023-10-30,Post-Monsoon,10,6.8,40.6,141.6,24.0,31.9,19.9,67.3,12.2,W,1014.3,20.0,8.0,Medium,Mild,WS_3168,IMD
Kohima Rural,Nagaland,2023-10-30,Post-Monsoon,10,9.9,82.0,69.4,21.5,25.2,18.7,76.6,11.3,N,1002.2,15.0,6.4,Low,Moderate,WS_1862,Satellite
Shillong Rural,Meghalaya,2023-10-31,Post-Monsoon,10,2.8,17.6,143.2,23.8,27.8,18.1,73.7,9.4,E,1017.0,18.4,9.6,Low,No,WS_8482,IMD
Mokokchung Rural,Nagaland,2023-10-31,Post-Monsoon,10,17.9,143.1,103.9,28.3,32.5,24.6,84.8,16.3,N,1006.7,27.9,10.4,Low,No,WS_2387,IMD
Phek Rural,Nagaland,2023-10-31,Post-Monsoon,10,6.6,44.9,147.1,21.6,29.4,19.2,66.7,17.4,SW,1005.1,21.6,2.1,Low,Severe,WS_2726,Local Station
Senapati Rural,Manipur,2023-10-31,Post-Monsoon,10,15.6,110.8,117.3,28.2,35.9,23.5,79.6,18.8,SW,1017.6,24.1,8.7,Low,Mild,WS_9066,Satellite
Teliamura Rural,Tripura,2023-10-31,Post-Monsoon,10,4.5,28.2,86.8,29.5,36.3,25.8,79.3,13.3,E,1019.4,29.1,4.2,Medium,No,WS_3950,IMD
Williamnagar Village,Meghalaya,2023-10-31,Post-Monsoon,10,4.4,27.4,147.8,27.5,31.2,24.6,71.2,14.1,SW,1006.4,23.6,9.8,High,No,WS_1274,IMD
Khliehriat Village,Meghalaya,2023-10-31,Post-Monsoon,10,21.0,160.4,64.8,27.1,32.5,24.0,84.3,16.3,E,1009.1,19.2,8.8,Medium,No,WS_2917,IMD
Wokha Rural,Nagaland,2023-11-01,Post-Monsoon,11,13.2,104.3,111.8,25.8,31.9,22.3,77.4,18.6,W,1001.5,24.7,9.3,Low,No,WS_7409,IMD
Itanagar Rural,Arunachal Pradesh,2023-11-01,Post-Monsoon,11,28.2,188.3,56.5,26.4,31.5,22.4,70.9,19.0,NW,1009.5,24.1,8.1,Medium,No,WS_5476,IMD
Dibrugarh Rural,Assam,2023-11-01,Post-Monsoon,11,2.5,15.0,117.9,24.1,29.2,21.0,79.4,10.2,E,1013.3,15.0,11.6,High,No,WS_2734,IMD
Dharmanagar Rural,Tripura,2023-11-01,Post-Monsoon,11,1.2,8.4,131.9,22.4,25.5,18.6,71.5,17.3,SW,1019.8,22.4,8.6,Low,Mild,WS_9063,Satellite
Jowai Rural,Meghalaya,2023-11-01,Post-Monsoon,11,7.2,51.9,66.6,22.5,28.1,17.8,66.1,20.2,W,1010.6,18.1,3.0,Low,Mild,WS_5534,IMD
Williamnagar Village,Meghalaya,2023-11-01,Post-Monsoon,11,10.7,62.9,123.2,27.4,32.0,24.7,81.4,17.1,SE,1010.8,19.5,2.6,Low,Severe,WS_7815,Local Station
Tura Village,Meghalaya,2023-11-01,Post-Monsoon,11,12.0,88.8,65.8,24.4,26.7,20.6,80.5,10.2,N,1005.8,25.3,8.0,Low,Mild,WS_2000,IMD
Zunheboto Village,Nagaland,2023-11-02,Post-Monsoon,11,21.0,175.4,61.9,21.8,26.6,19.6,67.4,2.5,E,1018.6,29.0,2.9,Low,Moderate,WS_6278,Satellite
Udaipur Village,Tripura,2023-11-02,Post-Monsoon,11,0.5,3.7,73.9,24.5,31.0,19.0,65.8,14.8,E,1005.3,27.3,2.5,Low,Mild,WS_1169,Local Station
Churachandpur Village,Manipur,2023-11-02,Post-Monsoon,11,4.2,26.0,84.6,22.1,27.0,19.2,71.4,22.9,SW,1014.8,15.6,11.9,Low,No,WS_4607,Local Station
Nongpoh Village,Meghalaya,2023-11-02,Post-Monsoon,11,12.2,76.2,87.3,28.6,34.1,23.8,75.6,24.1,SE,1016.7,23.2,11.8,Medium,No,WS_3398,Local Station
Dibrugarh Rural,Assam,2023-11-02,Post-Monsoon,11,2.5,15.7,63.6,24.0,28.1,18.3,82.8,22.8,E,1007.1,19.2,2.4,Low,No,WS_7018,Local Station
Dimapur Village,Nagaland,2023-11-02,Post-Monsoon,11,8.9,71.5,94.0,27.3,32.5,21.5,77.3,9.0,SW,1016.0,19.1,11.7,Medium,No,WS_3425,Local Station
Wokha Rural,Nagaland,2023-11-02,Post-Monsoon,11,2.0,13.6,114.5,25.3,27.6,21.2,70.5,10.4,NE,1006.8,29.3,3.4,Medium,No,WS_7748,IMD
Resubelpara Rural,Meghalaya,2023-11-03,Post-Monsoon,11,3.6,26.8,80.8,21.0,24.2,17.4,69.1,2.5,SE,1017.7,20.6,9.8,Medium,No,WS_8015,IMD
Dibrugarh Rural,Assam,2023-11-03,Post-Monsoon,11,11.0,76.1,132.6,27.7,35.6,23.6,65.5,8.1,NW,1007.1,27.0,10.5,Low,No,WS_1763,IMD
Naharlagun Village,Arunachal Pradesh,2023-11-03,Post-Monsoon,11,4.3,27.2,60.1,21.6,26.8,17.0,65.6,4.3,SW,1005.8,16.7,6.4,Medium,No,WS_5024,Local Station
Belonia Rural,Tripura,2023-11-03,Post-Monsoon,11,29.7,178.5,144.2,27.8,31.2,25.3,81.0,7.2,S,1017.5,26.3,5.4,Low,Mild,WS_4580,IMD
Tezpur Rural,Assam,2023-11-03,Post-Monsoon,11,5.6,42.0,68.7,20.1,25.5,15.2,71.1,17.7,E,1012.7,18.0,6.7,Low,No,WS_1290,Satellite
Tura Village,Meghalaya,2023-11-03,Post-Monsoon,11,0.9,5.9,136.7,22.6,28.9,20.2,73.5,10.8,S,1011.7,21.2,10.5,Medium,No,WS_3248,IMD
Jorhat Village,Assam,2023-11-03,Post-Monsoon,11,11.8,91.0,95.6,22.5,26.7,20.2,84.3,14.5,SW,1003.0,27.7,6.4,Medium,No,WS_7371,Satellite
Gangtok Rural,Sikkim,2023-11-04,Post-Monsoon,11,11.0,90.1,65.7,25.1,32.7,21.9,79.1,13.0,N,1008.4,21.9,11.5,Medium,No,WS_2992,Satellite
Singtam Village,Sikkim,2023-11-04,Post-Monsoon,11,11.1,66.8,107.9,20.8,23.7,16.1,83.4,5.5,E,1017.6,17.9,3.9,Medium,No,WS_4485,Satellite
Naharlagun Village,Arunachal Pradesh,2023-11-04,Post-Monsoon,11,17.9,108.7,139.2,26.2,28.8,21.9,74.5,2.2,E,1010.0,23.8,9.1,Medium,No,WS_2246,IMD
Mokokchung Rural,Nagaland,2023-11-04,Post-Monsoon,11,21.5,179.7,65.5,26.3,30.4,22.0,70.1,4.1,S,1018.3,15.6,2.5,High,Mild,WS_2451,IMD
Lunglei Village,Mizoram,2023-11-04,Post-Monsoon,11,4.8,38.7,114.7,29.6,36.6,27.4,75.8,15.9,S,1018.0,18.5,6.8,High,No,WS_7020,IMD
Dharmanagar Rural,Tripura,2023-11-04,Post-Monsoon,11,15.5,117.3,116.3,27.0,33.6,21.1,66.7,15.8,W,1009.6,27.1,3.5,Medium,No,WS_6558,IMD
Thoubal Village,Manipur,2023-11-04,Post-Monsoon,11,0.7,4.0,85.5,28.1,31.6,22.8,78.6,23.3,NE,1009.9,27.1,4.0,Low,No,WS_6273,IMD
Karimganj Village,Assam,2023-11-05,Post-Monsoon,11,3.8,27.2,64.0,24.6,31.9,21.9,84.7,9.1,SE,1002.8,25.5,5.5,Low,No,WS_2674,Satellite
